"City","Location","Building","Floor","Room","Department"
"","","","","1702","EWHU"
"","","","","1703","EWHU Admin"
"","","","","1703 - stores","EWS Adm/Clerical Support"
"","","","","1705","EWS Home Care"
"","","","","1710","EWS Leadership"
"","","","","1712","FMO"
"","","","","1713","Food Services"
"","","","","1726","Food services"
"","","","","1730","Food Svcs"
"","","","","1730 (Linen Room)","Gen Surg & Telemetry 7N"
"","","","","1730 (Mailroom)","General Medicine"
"","","","","1801","General medicine"
"","","","","1802","General Surgery"
"","","","","1810","General surgery"
"","","","","1812","Geog 1/2 Pharmacy & Pharm LTC"
"","","","","1815","Glengarry"
"","","","","1816","HC Admin EWHU"
"","","","","1817 basement","HC Nursing EWHU"
"","","","","1819","Health Records"
"","","","","1819 A","Heritage Woods"
"","","","","1819a","HIM Informatics"
"","","","","1819A","Home support"
"","","","","1819A (Hospital at Home)","Home Support Admin"
"","","","","1819A- next to cafeteria","Hospital at Home"
"","","","","1821 (North Maintenance Shop)","Hospitalists room."
"","","","","18-22 beds - adjacent","Housekeeping"
"","","","","1825","HS Scheduling"
"","","","","1826","HVAC"
"","","","","19","ICU"
"","","","","2","ICU 2"
"","","","","20","IHealth Operating"
"","","","","200","IM/IT"
"","","","","203","Imaging"
"","","","","203.2 - St. Anthonys Primary Care Room","Imaging - CT"
"","","","","203.3","IMIT"
"","","","","203.4","Internal medicine"
"","","","","203.5","Interventional Cardiology"
"","","","","203.8","IPC"
"","","","","2039","Lab"
"","","","","206","LAB"
"","","","","207","Lab - Mobile"
"","","","","21","Lab Informatics"
"","","","","2105","Labor and Delivery"
"","","","","2106","Laboratory"
"","","","","2107","Laundry"
"","","","","2108","LDR"
"","","","","2109","LDR/Antepartum"
"","","","","211","Library"
"","","","","216","Library Services"
"","","","","219","LIRU"
"","","","","220","LLabour and Delivery"
"","","","","2200","Long Term Care"
"","","","","2203","Long term care"
"","","","","2210","LTC VIHA Admin - SI"
"","","","","2211","Mammography"
"","","","","2212","MDRD"
"","","","","2213","Med Staff Cred and Priv"
"","","","","2214 Endo","Medical Affairs"
"","","","","2217","Medical Affairs Admin"
"","","","","2218","Medical Imag Clerical Adm"
"","","","","222","Medical Imaging"
"","","","","2223","medical Imaging"
"","","","","2223 (Admissions)","Medical Imaging Admin"
"","","","","2224","Medical Imaging Reception"
"","","","","2225","Medical Staff Contracts"
"","","","","2226","Medical Staff Cred and Priv"
"","","","","2226 (Admissions)","Meeting Room"
"","","","","23","Mental Health"
"","","","","2300","MHSU"
"","","","","2300 (Reception)","MHSU LC SU Community Beds"
"","","","","2307","MI Clerical & RIS Supp Admin"
"","","","","2308","MI System Data Management"
"","","","","2311","Minor Surgical Procedures"
"","","","","2313","Mother/Babe Unit"
"","","","","2315","Multimedia Services"
"","","","","2315 (SDC OR 3)","n/a"
"","","","","2316 Patient Holding Area","Neo Natal"
"","","","","2317","Neonatal Intensive Care"
"","","","","2319","Network & Solutions Admin"
"","","","","2321 CNL Office","Network Architecture"
"","","","","2332","Neuro"
"","","","","2335","Neuro Rehab"
"","","","","233B","Neurological Rehab"
"","","","","2344","Neuropsychology"
"","","","","24","Neuroscience"
"","","","","2400","neuroscience"
"","","","","2400A","NICU"
"","","","","2400C","Nuclear Medicine"
"","","","","2406","Nursing - Med/Sur"
"","","","","242","Nursing-Hillside"
