"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_retired_date","u_last_rounded_date","u_device_rounding","u_department_location","location.u_deskside_assignment_group"
"LD032719","HSS-8098557","PF62198A","VIHA-PHHC-Port Hardy Health Centre-Main Building-1st Floor","Port Hardy","Main Building","Back Office (dental office)","1","ISLHTRP20260504-005","","06/30/2026","General Rounding","PHN Regional - Dental Health","NTT-Deskside Services-PortHardy-Local"
"LD057667","HSS-8098558","PF621CJ5","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Port Hardy","Main Building","Main office-corner","1","ISLHTRP20260504-006","","06/15/2026","General Rounding","CHS in PHH","NTT-Deskside Services-PortHardy-Staffed"
"LD002767TRP","HSS-8098559","PF621KA1","VIHA-PHMHAS-Port Hardy Mental Health & Addiction Services-Main Building-1st Floor","Port Hardy","","","","ISLHTRP20260504-007","","","General Rounding","","NTT-Deskside Services-PortHardy-Local"
"LD021446TRP","HSS-8098560","PF621960","VIHA-PHMHAS-Port Hardy Mental Health & Addiction Services-Main Building-1st Floor","Port Hardy","","","","ISLHTRP20260504-008","","","General Rounding","","NTT-Deskside Services-PortHardy-Local"
"LD030960TRP","HSS-8098561","PF620TFL","VIHA-PHMHAS-Port Hardy Mental Health & Addiction Services-Main Building-1st Floor","Port Hardy","","","","ISLHTRP20260504-009","","","General Rounding","","NTT-Deskside Services-PortHardy-Local"
"LD065365TRP","HSS-8098562","PF621952","VIHA-PHMHAS-Port Hardy Mental Health & Addiction Services-Main Building-1st Floor","Port Hardy","","","","ISLHTRP20260504-010","","","General Rounding","","NTT-Deskside Services-PortHardy-Local"
"PC076690","HSS-8098563","MZ03CFDG","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Port McNeill","Main Building","Boardroom","1","ISLHTRP20260504-011","","","General Rounding","Primary  Care","NTT-Deskside Services-PortHardy-Remote"
"PC071347","HSS-8098564","MZ03CFDS","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Port McNeill","Main Building","Boardroom","1","ISLHTRP20260504-012","","05/21/2026","General Rounding","Primary Care","NTT-Deskside Services-PortHardy-Remote"
"PC076689","HSS-8098565","MZ03CFDK","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Port McNeill","Main Building","Room 8","1","ISLHTRP20260504-013","","","General Rounding","Primary Care","NTT-Deskside Services-PortHardy-Remote"
"LD027178","HSS-8098566","PF620HS3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Port McNeill","Main Building","Admin Trailer - Sandra Rezansoff","1","ISLHTRP20260504-014","","07/02/2026","General Rounding","Mt Waddington Strath Adm","NTT-Deskside Services-PortHardy-Remote"
"LD035972TRP","HSS-8098567","PF621CJJ","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Port McNeill","","","","ISLHTRP20260504-015","","","General Rounding","","NTT-Deskside Services-PortHardy-Remote"
"LD035988","HSS-8098568","PF620NQR","VIHA-PHHC-Port Hardy Health Centre-Main Building-1st Floor","Port Hardy","Main Building","Public Health Nurse (2nd from entrance)","1","ISLHTRP20260504-016","","","General Rounding","PHN PH Public Health Nursing","NTT-Deskside Services-PortHardy-Local"
"LD035981","HSS-8098569","PF621CKZ","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Port Hardy","Main Building","General Office (Home Care - Right)","1","ISLHTRP20260504-017","","05/25/2026","General Rounding","CHS NVI Home Support","NTT-Deskside Services-PortHardy-Staffed"
"LD030245","HSS-8098570","PF61ZSL6","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Port Hardy","Main Building","Solarium","1","ISLHTRP20260504-018","","06/15/2026","General Rounding","PHH Combined Medical/Surgical","NTT-Deskside Services-PortHardy-Staffed"
"LD071010TRP","HSS-8098575","PF61ZQB3","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Port McNeill","","","","ISLHTRP20260504-023","","","General Rounding","","NTT-Deskside Services-PortHardy-Remote"
"LD073177","HSS-8098576","PF61ZSNB","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Port McNeill","Main Building","Common area(was Boardroom)/ Jodi's office","1","ISLHTRP20260504-024","","","General Rounding","Admin","NTT-Deskside Services-PortHardy-Remote"
"LD066037","HSS-8098577","PF61ZQ8B","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Port McNeill","Main Building","Mental Health Office Admin Trailer (COMP2)","1","ISLHTRP20260504-025","","05/07/2026","General Rounding","Home Support Progr-Re3","NTT-Deskside Services-PortHardy-Remote"
"LD071025TRP","HSS-8098578","PF61ZAH0","VIHA-PHFP-Port Hardy Family Practice-Main Building-1st Floor","Port Hardy","","","","ISLHTRP20260504-026","","","General Rounding","","NTT-Deskside Services-PortHardy-Local"
"PC047068","HSS-8098579","MZ03FL2M","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Port McNeill","Main Building","ER-Between cabinets","1","ISLHTRP20260504-027","","06/22/2026","General Rounding","Emergency","NTT-Deskside Services-PortHardy-Remote"
"PC047072","HSS-8098580","MZ03CFE0","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Port McNeill","Main Building","Nursing Station (Report Room)","1","ISLHTRP20260504-028","","06/22/2026","General Rounding","Physician Office","NTT-Deskside Services-PortHardy-Remote"
"LD1000529","HSS-8098581","PF61M0S4","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Port McNeill","Main Building","Unknown","1","ISLHTRP20260504-029","","","General Rounding","Clinical Nutrition","NTT-Deskside Services-PortHardy-Remote"
"LD038225","HSS-8098582","PF621MGV","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Port McNeill","Main Building","Maint. Office","1","ISLHTRP20260504-030","","05/07/2026","Excluded","FMO","NTT-Deskside Services-PortHardy-Remote"
"LD057657","HSS-8098583","PF621CLW","VIHA-PAH-Port Alice Health Center-Main Building-1st Floor","Port Alice","Main Building","#4-This Laptop goes home with DR","1","ISLHTRP20260504-031","","07/08/2026","Excluded","ACV Med Staff Cred and Priv","NTT-Deskside Services-PortHardy-Remote"
"LD035965TRP","HSS-8098584","PF621MHE","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Port McNeill","","","","ISLHTRP20260504-032","","","Excluded","","NTT-Deskside Services-PortHardy-Remote"
"LD039572","HSS-8098585","PF62GFFC","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Port McNeill","Main Building","WFH","1","ISLHTRP20260504-033","","05/07/2026","Excluded","Public Health","NTT-Deskside Services-PortHardy-Remote"
"PC060937","HSS-8098586","MZ03FL2X","VIHA-WRH-Woss Rural Health-Main Building-1st Floor","Woss","Main building","TBD","1","ISLHTRP20260504-034","","","General Rounding","Public Health","NTT-Deskside Services-PortHardy-Remote"
"LD035985","HSS-8098818","PF620NPS","VIHA-PHMHAS-Port Hardy Mental Health & Addiction Services-Main Building-1st Floor","Port Hardy","Main Building","TBD","1","ISLHTRP20260504-020","","","General Rounding","MRS CCH Intensive Outreach Tm","NTT-Deskside Services-PortHardy-Local"
"LD035979TRP","HSS-8098819","PF620NMR","VIHA-PHMHAS-Port Hardy Mental Health & Addiction Services-Main Building-1st Floor","Port Hardy","","","","ISLHTRP20260504-021","","","General Rounding","","NTT-Deskside Services-PortHardy-Local"
"PC021653","HSS-8098820","MZ03CFDC","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Port Hardy","Main Building","Bullpen","1","ISLHTRP20260504-022","","06/16/2026","General Rounding","SN Mt Wadding NP Indigenous","NTT-Deskside Services-PortHardy-Local"
"LD055607","HSS-1024156","8554Q73","VIHA-Remote-Work From Home","","","","","REQ0165883-RITM0173169-SCTASK0258211","","","Excluded","",""
"LD056149","HSS-1026492","G4NJDB3","VIHA-Remote-Work From Home","","South tower","S222","2","REQ0210504-RITM0220455-SCTASK0331011","","","General Rounding","Administration",""
"LD071406LER","HSS-1032928","FGGK3T3","VIHA-Remote-Work From Home","","","WFH Sarah Taylor","","INC1407774 for replacing 8CH09K3","","02/09/2023","Excluded","IM/IT",""
"LD060926","HSS-1034666","2LCR9K3","VIHA-Remote-Work From Home","","","Room 3134","","REQ0582925-RITM0612251-SCTASK0955768","","","Excluded","",""
"LD061568","HSS-1036528","34Y6NN3","VIHA-Remote-Work From Home","","","","","REQ0630717-RITM0662517-SCTASK1040407","","","General Rounding","",""
"LD061752","HSS-1036609","8CK5NN3","VIHA-Campbell River","Campbell River","WFH","WFH Adrienne Gray","3","REQ0658549-RITM0691841-SCTASK1084519","","08/07/2023","Excluded","",""
"LD080096","HSS-1036900","4Q6JLN3","VIHA-Remote-Work From Home","","WFH","WFH","WFH","REQ0655527-RITM0688687-SCTASK1104018","","","Excluded","WFH",""
"LD080211","HSS-1038392","6H6HMN3","VIHA-Remote-Work From Home","","WFH","WFH","WFH","REQ0721994-RITM0758710-SCTASK1195288","","","Excluded"," WFH",""
"LD105883","HSS-1041647","52X2NN3","VIHA-Remote-Work From Home","","CRHCC","WFH","WFH","REQ1894616-RITM1999617-SCTASK3239846","","","Excluded","WFH - CRHCC",""
"LD062710","HSS-1041861","DKJ1NN3","VIHA-Remote-Work From Home","","Work from Home","Work from Home","WFH","REQ0873199-RITM0917668-SCTASK1462559","","","Excluded","WFH",""
"LD063709","HSS-1042982","3TXJTV3","VIHA-Remote-Work From Home","","WFH","WFH","WFH","REQ0965747-RITM1015732-SCTASK1650400","","","Excluded","WFH",""
"LD063789","HSS-1043113","JR5Z4X3","VIHA-Remote-Work From Home","","","Work from home  - Jason Alessio","1","REQ1004886-RITM1057100-SCTASK1689292","","07/21/2023","Excluded","'-",""
"LD107002","HSS-1043136","5Z5Z4X3","VIHA-Remote-Work From Home","","MP","KW310","3","REQ2101565-RITM2220230-SCTASK3555144","","","","",""
"LD063845","HSS-1043204","8ZNX4X3","VIHA-Remote-Work From Home","","CRG","CR1840 - WFH","WFH","REQ1012222-RITM1064927-SCTASK1696985","","","Excluded","Medical Imaging",""
"LD100528","HSS-1043546","GSNX4X3","VIHA-Alert Bay","Alert Bay","","","","REQ1031187-RITM1085040-SCTASK1743101","","","General Rounding","",""
"LD107391","HSS-1043733","85HG5X3","VIHA-Remote-Work From Home","","MP","KW310","3","REQ2159535-RITM2281768-SCTASK3644438","","","","",""
"LD064135","HSS-1043788","2HQ85X3","VIHA-Remote-Work From Home","","Admin Building","BH206 - WFH","2","REQ1063834-RITM1119383-SCTASK1788428","","10/23/2023","Excluded","Finance",""
"LD067090","HSS-1044975","G4XQSV3","VIHA-Remote-Work From Home","","","","","REQ1174043-RITM1236437-SCTASK1988288","","","Excluded","",""
"LD067311","HSS-1045143","DG6B9W3","VIHA-Remote-Work From Home","","WFH","WFH","WFH","REQ1201231-RITM1265127-SCTASK2032028","","","Excluded","WFH",""
"LD101343","HSS-1045285","BSG89W3","VIHA-Remote-Work From Home","","WFH","WFH","WFH","REQ1213602-RITM1278303-SCTASK2047825","","07/15/2025","Excluded","WFH",""
"LD085795","HSS-1045296","51T89W3","VIHA-Victoria","Victoria","VGH","1066","1","REQ1217569-RITM1282612-SCTASK2053534","","03/31/2026","Location Not Active","Collaboration",""
"LD090515","HSS-1045721","BQJ69W3","VIHA-Campbell River","Campbell River","Work From Home","Work from home.","WFH","REQ1239238-RITM1305851-SCTASK2097218","","","Excluded","WFH",""
