"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"PC032107","PC032101","HSS-8058663","6ZJKRH3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2514 (Reports Room A)","","VIHATRP20220505-016","08/31/2030","NTT-Deskside Services-WestCoast-Staffed"
"PC032077","PC032077","HSS-8058680","2TMJRH3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2454","","VIHATRP20220505-026","08/31/2030","NTT-Deskside Services-WestCoast-Staffed"
"LD038204","LD038204-M2","HSS-1972918","GJNKGC3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","20","1","DMND0003120","12/31/2029","NTT-Deskside Services-WestCoast-Local"
"PC030893","PC030893","HSS-8058654","44CKRH3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WCAmbulatory Care","","VIHATRP20220505-010","08/31/2030","NTT-Deskside Services-WestCoast-Staffed"
"LD027219","LD027219","HSS-8073785","5JZPQT3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","Manager Office","1","VIHATRP20230417-041","06/30/2031","NTT-Deskside Services-WestCoast-Local"
"LD033692","LD033692-M1","HSS-1972925","8FTKGC3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","5","1","DMND0003120","12/31/2029","NTT-Deskside Services-WestCoast-Local"
"LD033691","LD033691","HSS-8058712","CDPKRH3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","Alicia's Office","1","VIHATRP20220505-048","08/31/2030","NTT-Deskside Services-WestCoast-Local"
"LD066301","LD066301","HSS-8078569","9ZP6PW3","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building-1st Floor","Main Building","9","1","VIHATRP20230918-040","11/30/2031","NTT-Deskside Services-WestCoast-Local"
"PC030898","PC045957","HSS-8086264","69J3VZ3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","Receptiion","1","VIHATRP20240429-042","07/31/2032","NTT-Deskside Services-WestCoast-Local"
"LD050422","LD050422","HSS-1972946","69JKGC3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","1","1","DMND0003120","12/31/2029","NTT-Deskside Services-WestCoast-Local"
"PC032060","LD065642","HSS-8072192","HJ7RVP3","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building-1st Floor","Main Building","2","","VIHATRP20230213-043","05/31/2031","NTT-Deskside Services-WestCoast-Local"
"PC077225","PC077225","HSS-1984823","DZGKRH3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2908 - wall mount in cubby","2","DMND0003637","10/31/2030","NTT-Deskside Services-WestCoast-Staffed"
"PC034666","PC034666","HSS-8086317","BPZ3VZ3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2495","2","VIHATRP20240429-078","07/31/2032","NTT-Deskside Services-WestCoast-Staffed"
"LD046277","LD046277","HSS-8086230","DL84VZ3","VIHA-TGH-Tofino General Hospital-Main Building-1st Floor","Main Building","1","1","VIHATRP20240429-012","07/31/2032","NTT-Deskside Services-WestCoast-Remote"
"LD056454","LD071363","HSS-1033060","GZFJRH3","VIHA-PAST-Port Alberni Youth Short Term Assessment and Response-Main Building-1st Floor","Main Building","1","1","REQ0501083-RITM0525668-SCTASK0835123","05/31/2030","NTT-Deskside Services-WestCoast-Local"
"LD023195","LD073165","HSS-8078572","4Z1SQT3","VIHA-PAIHN-Port Alberni Integrated Health Network-Main Building-1st Floor","Main Building","Admin","1","VIHATRP20230918-042","11/30/2031","NTT-Deskside Services-WestCoast-Local"
