"City","Location","Building","Floor","Room","Department"
"","","","","101 (#7??? Charge Cabinet)","CHS (Reception)"
"","","","","101 (#8 Charge Cabinet)","CHS Clinic"
"","","","","101 (Admitting)","CHS Nursing SSI"
"","","","","101 (Anesthesia Clinic through Rm 103)","CHS Respiratory Therapist"
"","","","","101 (Medical Day Care)","Clinical Day Care"
"","","","","101 (W41)","Clinical Education"
"","","","","101 (W42)","Clinical Governance Admin"
"","","","","101 (W43)","Clinical Imp & Informatics"
"","","","","101 (W44)","Clinical Informatics"
"","","","","101 (W45)","Clinical Nurse Educator"
"","","","","1014 (Echo Lab)","Clinical Practice Educator Wound"
"","","","","1017","Clinical Service Delivery - Executive Director"
"","","","","1017 (OR Purchasing Office)","CLKS LearningDesign&Tech"
"","","","","1018 (Back Area)","Coding Team"
"","","","","1018 (Health Records)","Community Health Services"
"","","","","1019","Community Health Services (Advanced Lower Limb Assessment)"
"","","","","102","Community Home Support"
"","","","","102 (Desk 1)","Community Home Support - Timekeeping"
"","","","","102 (Desk 2)","Consultant Volunteer Engagement"
"","","","","102 (Health Records)","COV IHealth Project Staff"
"","","","","102 (Pre-Admissions)","COVID PopHlth Asse Su&Epid"
"","","","","102 (Ultrasound)","COVID Saanich Gulf Islds Admin"
"","","","","1020","Cowich Vall MHSU Adm Supp"
"","","","","1020 (Health Records)","Cowichan Assist Living LPN"
"","","","","1021 (Dictation Room)","Cowichan District Hospital."
"","","","","1022 (Booking Office)","Cowichan Health & Care"
"","","","","1023A (Radiology)","Cowichan Health & Care Plan"
"","","","","1023B (Radiology)","Cowichan Hlth & Care Plan"
"","","","","1025 (Boardroom) Brenda Stager","Cowichan Home Support"
"","","","","1025 (EDU Floater)","Cowichan HS Overnight Team"
"","","","","1025 (Surgical Services)","Cowichan Lodge"
"","","","","1026 (OR Booking)","Cowichan Lodge Adult TMH"
"","","","","103","Cowichan Lodge Seniors TMH"
"","","","","103 - in Storage (Telehealth)","Cowichan Lodge-YSTAR"
"","","","","103 (Ultrasound)","Cowichan Valley Adm"
"","","","","1034 (Switchboard)","Cowichan Valley Admin"
"","","","","1038 (Staff Room)","Cowichan Valley Home Support"
"","","","","1039 (Reception)","Cowichan Valley HS Admin"
"","","","","1039 (Rehab Area)","Cowichan Valley HS Nursing"
"","","","","1039 (Side Office - Mobile)","Cowichan Valley MHSU"
"","","","","104","Cowichan Valley MHSU Community"
"","","","","104 (Chart Room)","Cowichan Valley PCN"
"","","","","104 (OR Booking)","CRM ASTAT"
"","","","","104 (Outpatient Laboratory)","CRT"
"","","","","1045 (Accessions)","CSC HSCL Duncan"
"","","","","1045 (Back Office)","CVH Inpatients - 3C & 3D"
"","","","","1045 (Blood Bank)","CYF CI Cowichan"
"","","","","1045 (Core Care)","Device Acquisition"
"","","","","1045 (Hallway)","Diabetes & Geriatrics Clinic"
"","","","","1045 (Hallway)(Collection Cart #1)","Diabetes & Nutrition Services"
"","","","","1045 (Hallway)(Collection Cart #2)","Dialysis"
"","","","","1045 (Hallway)(Collection Cart #3)","Dietary"
"","","","","1045 (Hallway)(Collection Cart #4)","DOT Nurse"
"","","","","1045 (Hallway)(Collection Cart #5)","Duncan Community Hlth Services"
"","","","","1045 (Hallway)(Collection Cart #6)","ECG"
"","","","","1045 (Hallway)(Collection Cart #7)","Echocardiography"
"","","","","1045 (Lab Core)","Education and Practice Support"
"","","","","1045 (Outside Core Care)","Emergency"
"","","","","1046 (Reception)","End of Life"
"","","","","105 (Consulting Services)","Environmental Public Health"
"","","","","105 (W1) Telehealth","Environmental Public Health Admin"
"","","","","1050 (Chief Technologist)","EWS Home Care"
"","","","","1052 (MDRD Decontamination)","Executive"
"","","","","1053","Extended Care"
"","","","","1058 (Doctor's Lounge)","Extended Care - Long Term Care"
"","","","","106","Facility Management and Operations (FMO)"
"","","","","106 (Exam Room)","Family Practice Clinic"
"","","","","1060 (Doctor's On-Call Room)","Finance"
"","","","","1066B (CT supervisors Office)","Finance, Budget Process & Financial Planning"
"","","","","1067 (Cubby)","Fire & Safety"
"","","","","1068 (PACU)","FMO"
"","","","","1069 (Ophthalmology OR)","FMO - Office"
"","","","","107 (Clinical Day Care)","FMO - Workshop"
"","","","","107 (Exam Room)","FMO (Leased Facility Maintenance)"
"","","","","107 (Protection Services)","FMO Admin Support CI/NI"
"","","","","1078 (Clean Utility Room)","Food Services"
"","","","","108","FS Cowichan Valley"
"","","","","108 (CN)","General Housing SI"
"","","","","108 (Exam Room)","Geriatric Specialty Services"
"","","","","108 (Office)","Geriatrics Specialty Services"
"","","","","1080 (Cataract Clinic)","HC Admin Duncan"
"","","","","1081 (Radiologist)","HC Admin Practice & Educ"
"","","","","1083 (CT Tech Station)","HCN - Home Care Nursing"
"","","","","1083 (Outside CT Tech Station)","Health & Care Plan"
"","","","","1088 (Mammography Office)","Health Records"
"","","","","109 (Clinical Lead)","Health Wellness & Safety"
"","","","","109 (Exam Room)","Heart Function"
"","","","","1091 (Reception)","Home & Community Care"
"","","","","1092 (Medical Imaging Booking)","Home Care Nursing (AL LPN 2)"
"","","","","1093 (Breast Imaging Room)","Home Care Nursing (East HCN 1)"
"","","","","1095 (X-Ray Tech Room 1)","Home Care Nursing (Float 1)"
"","","","","1096 (X-Ray Office)","Home Care Nursing (HCN Float 3)"
"","","","","1098 (X-Ray Tech Room 3)","Home Care Nursing (HCN Palliative 3)"
"","","","","1099 (X-Ray Tech Room 2)","Home Care Nursing (Palliative HCN 2)"
"","","","","11","Home Care Nursing (South HCN 1)"
"","","","","11 ()","Home Care Nursing (South HCN 2)"
"","","","","11 (Samantha)","Home Care Nursing (West HCN 1)"
"","","","","110 (Child Youth & Family Services)","Home Care Nursing (West HCN 2)"
"","","","","110 (Exam Room)","Home Care Nursing Ladysmith"
"","","","","1103 (Hallway)","Home Care Services"
"","","","","1104 (Inside Ortho)","Home Support Schedule"
"","","","","1104 (Ultrasound Hallway)","Home Support Scheduling"
"","","","","1105 (Ultrasound Room 1)","Hospice"
"","","","","1107","Hospice - End of Life"
"","","","","1107 (Manager Office)","Hospital At Home"
"","","","","1109 (Reception)","Hospital at Home"
"","","","","1109 (Ultrasound Tech Room 3/4)","Housekeeping"
"","","","","111 (Exam Room) First Aid Room","Housekeeping Admin"
"","","","","111 (LH Desk)","HS Overnight Team"
"","","","","111 (RH Desk)","Human Resource Corporate Admin"
"","","","","1110 (Office)","Human Resources"
"","","","","1111 (Ultrasound Office)","Human Resources - South Team 3"
"","","","","1113 (CRT Room)","Implement - Project Management CDHRP"
"","","","","1117 (Trauma Room)","Implement-Clinical"
"","","","","1118A (Tyler Smith)","Implement-Proj Mgmt Office"
"","","","","1118B (Education Room)","Infant Mental Health - CHF"
"","","","","112","Infection Control - Admin"
"","","","","112 (Administration)","Infection Prevention & Control"
"","","","","112 (Clinic Room)","Innovation"
"","","","","112 (CN)","Innovation, Analytics & Information"
"","","","","112 (CNL Office)","Intensive Care Unit (ICU)"
"","","","","112 (not connected)","Interim Area Director"
"","","","","1127 (ECG)","Lab - Point of Care"
"","","","","1128 (EMRG Hallway)","Lab Admin"
"","","","","1128 (Fast Track Room)","Lab Pre-Analytics"
"","","","","1128 (Med Room)","Laboratory"
"","","","","1128 (Nurse Station)","Ladysmith Family Practice"
"","","","","1128 (Outside Trauma - Lab Machine)","Laundry Services"
"","","","","1128 (Physicians Station - Back Wall)","Logistics/Fire Prevention"
"","","","","1128 (Physicians Station - Standing)","Long Term Care"
"","","","","1128 (Physicians Station)","Margaret Moss Public Health Unit"
"","","","","112B ()","Maternity"
"","","","","113","Maternity Clinic"
"","","","","1130 (Outside Triage)","MCC CV THE JUNCTION"
"","","","","1130 (Triage)","MCS LHS Facilitator"
"","","","","1134 (ACU Back Hallway)","MDRD"
"","","","","1134 (ACU Hallway)","Med Staff Cred and Priv"
"","","","","1134 (Nurse Station)","Medical"
"","","","","1137 (Procedure Room 1)","Medical / Surgical Care"
"","","","","114","Medical Booking"
"","","","","114 (Long Term Care - Nurse Station)","Medical Device Reprocessing Department (MDRD)"
"","","","","114 (Shared Office)","Medical Health Officer"
"","","","","1140 (Endoscopic Suite)","Medical Imaging"
"","","","","1143NW (Mammo Exam Room)","Medical Records"
"","","","","1145 (Waiting Room Office)","Medicine"
"","","","","114A","Mental Health"
"","","","","114B","Mental Health & Substance Abuse"
"","","","","114B (SMARTDOP Machine)","Mental Health ACT Process Support"
"","","","","115 (Activities Aide)","Mental Health Adults"
"","","","","115 (Child Youth & Family Services)","Mental Health and Substance Abuse"
"","","","","115 (W46)","Mental Health Substance Abuse"
"","","","","115 (W47)","MHSU"
"","","","","115 (W48)","MHSU Cowi Nana & Tert Adm"
"","","","","115 (W49)","MHSU Senior's"
"","","","","115 (W50)","MOA Admitting"
"","","","","115 (W51)","MSHU Senior's"
"","","","","115 (W52) Education Desk","Nanaimo Admin Support"
"","","","","115 (W53)","Network Architecture"
"","","","","115 (W54)","Neuros EDS"
"","","","","116","North Cowichan Comm Hlth Serv"
"","","","","116 (W55)","NSWOC"
"","","","","116 (W56)","Nursing"
"","","","","116 (W57)","Nursing SSI"
"","","","","116 (W58)","Occupational Health and Safety"
"","","","","116 (W59)","Occupational Therapy"
"","","","","116 (W60)","Operating Rooms"
"","","","","116 (W61)","OR Booking"
"","","","","116 (W62)","Orthopedic Clinic"
"","","","","116 (W63)","Outreach"
"","","","","116 (W64)","Palliative Care"
"","","","","116 (W65)","Palliative End of Life"
"","","","","116 (W66)","Parksville Region Treatmnt Cen"
"","","","","116 (W67)","Pathology"
"","","","","116 (W68)","Pathway to Hope Cowichan"
"","","","","117","Pathway to Hope Regional"
"","","","","117 (Dr. Reception)","Patient Client Care Gulf Islds"
"","","","","117 (Kellie Connelly)","Peninsula HUB & Gulf Islds CHS"
"","","","","117 (W69)","PH & W Healthy Communities"
"","","","","117 (W70)","Pharmacy"
"","","","","117 (W71)","PHN Medical Health Officer"
"","","","","117 (W72)","Physiotherapy"
"","","","","117 (W73)","Post Anaesthetic Care Unit"
"","","","","117 (W74)","Post Anesthetic Care Unit (PACU)"
"","","","","117 (W75)","Practice Support Team"
"","","","","117 (W76)","Profession Practice Team A"
"","","","","117 (W77)","Professional Practice Team A"
"","","","","117 (W78) Jennifer Brown","Protection Services"
"","","","","118","Protection Services - Security Systems"
"","","","","118 (Admin Office)","Protection Services CI"
"","","","","118 (W28)","PSO"
"","","","","118 (W80)","Psychiatry"
"","","","","118 (W81)","Public Health"
"","","","","118 (W82)","Region 3 Scheduling"
"","","","","118 (W83)","Region 3 Scheduling Duncan"
"","","","","118 (W84)","Region 4 Scheduling Vict"
"","","","","119","Rehabilitation"
"","","","","119 (Exan Room)","Respiratory Therapy"
"","","","","119 (Home & Community Care)","Saltspring Island MHSU"
"","","","","119 (W85)","Scheduling"
"","","","","119 (W86)","Seniors Outreach Team"
"","","","","119 (W87)","Seniors TMH"
"","","","","119 (W88)","SI Admin Support"
"","","","","119 (W89)","Social Work"
"","","","","119 (W90)","Social Work Ladysmith"
"","","","","119B (Home & Community Care)","Spiritual Health"
"","","","","12","Spiritual Services"
"","","","","120","Staff Scheduling"
"","","","","120 (Desk 1)","Staffing"
"","","","","120 (Desk 2)","Stores"
"","","","","120 (Desk 3)","Strategic Cont Qlty Improv"
"","","","","120 (Desk 4)","SUIT"
"","","","","120 (Desk 5)","SUIT - Substance Use Integrated Team"
"","","","","120 (W100)","Support Services"
"","","","","120 (W101)","Surgical Daycare"
"","","","","120 (W102)","Surgical Services"
"","","","","120 (W103)","Surgical Services Admin"
"","","","","120 (W104)","Switchboard"
"","","","","120 (W91)","Talent Aquis and Retn Adm"
"","","","","120 (W92)","TBD"
"","","","","120 (W93)","Technology Systems Support"
"","","","","120 (W94)","The Summit Long Term Care"
"","","","","120 (W95)","Training"
"","","","","120 (W96)","Triage"
"","","","","120 (W97)","Ultrasound"
"","","","","120 (W98)","University of Victoria"
"","","","","120 (W99)","Urgent Care"
"","","","","121","Urgent Primary Care"
"","","","","121 (Desk 1)","Virtual Care Services"
"","","","","121 (Desk 2)","Waiting Room"
"","","","","121 (Desk 3)","WFH"
"","","","","121 (Desk 4)","Work From Home"
"","","","","121 (Desk 5)","Workforce Optimization"
"","","","","122","Xray department"
"","","","","122 (Exam Room / Office)","Youth and Family Substance use Serviced"
"","","","","122 (Home & Community Care)",""
"","","","","123",""
"","","","","123 (LH Back)",""
"","","","","123 (LH Front)",""
"","","","","123 (RH Back)",""
"","","","","123 (RH Front)",""
"","","","","124 - Reception",""
"","","","","124 (Home & Community Care)",""
"","","","","124A (Volunteer Office)",""
"","","","","125",""
"","","","","125 (Home & Community Care)",""
"","","","","125 (W28)",""
"","","","","125 (W35)",""
"","","","","126",""
"","","","","126 (Rounds - connected to TV on wall)",""
"","","","","126 (Rounds)",""
"","","","","126 (W09)",""
"","","","","126 (W29)",""
